title,price,link
"
HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage,
                    14-inch Micro-edge HD Display, Windows 11 Home, Thin &
                    Portable, 4K Graphics, One Year of Microsoft 365
                    (14-dq0040nr, Snowflake White)
",173.,https://amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_1?dib=eyJ2IjoiMSJ9.EIqFlz3AwP32VuRQFOSz3M0nuv3Uiw6m78I-oJ_0CgkBys3S_3UGlUGZOisK7Pk0xVrHFhcm8_be8xkB5qn6SJi-UvE7-GbSVwaJWtKFGE7zO-wEtkLs5a_imBh8ibr4NAALBnp0LXo64R9SxfIc-P787671EhHhxuSNIyKVhV-78tCRdle-xGlb-yY6P6mV7ARgST20Fgxntwk-Qv_di-BNCnKpDP6qSJP98Zt-lDM.mrpIV_6BR7FKegamYgUWu_F7Gxo7_BAABR8nwSCGDmY&dib_tag=se&keywords=Laptop&qid=1753559949&sr=8-1
"15.6"" FHD IPS Student-Laptop Computer - 16GB RAM 1TB SSD, 4 Cores 13th Gen Intel N150(Beat to i3-1115G4, Up to 3.6GHz), 65W GaN Type-C, Fingerprint, Backlit Keyboard, Wi-Fi 6, BT5.2, Numpad","1,299.",https://amazon.com/15-6-FHD-IPS-Student-Laptop-Computer/dp/B0FDQ775FY/ref=sr_1_2?dib=eyJ2IjoiMSJ9.EIqFlz3AwP32VuRQFOSz3M0nuv3Uiw6m78I-oJ_0CgkBys3S_3UGlUGZOisK7Pk0xVrHFhcm8_be8xkB5qn6SJi-UvE7-GbSVwaJWtKFGE7zO-wEtkLs5a_imBh8ibr4NAALBnp0LXo64R9SxfIc-P787671EhHhxuSNIyKVhV-78tCRdle-xGlb-yY6P6mV7ARgST20Fgxntwk-Qv_di-BNCnKpDP6qSJP98Zt-lDM.mrpIV_6BR7FKegamYgUWu_F7Gxo7_BAABR8nwSCGDmY&dib_tag=se&keywords=Laptop&qid=1753559949&sr=8-2
"HP Laptop Computer 15.6"" FHD for Student Home and Business, Intel 4-Core Processor (Beat i3-1115G4), 32GB DDR4 RAM, 1TB PCIe SSD, WiFi 6E, Bluetooth 5.3, Type-C, HDMI, Windows 11 Pro, BEF-ectoy",499.,https://amazon.com/HP-Processor-i3-1115G4-Bluetooth-BEF-ectoy/dp/B0FHB9VVGM/ref=sr_1_6?dib=eyJ2IjoiMSJ9.EIqFlz3AwP32VuRQFOSz3M0nuv3Uiw6m78I-oJ_0CgkBys3S_3UGlUGZOisK7Pk0xVrHFhcm8_be8xkB5qn6SJi-UvE7-GbSVwaJWtKFGE7zO-wEtkLs5a_imBh8ibr4NAALBnp0LXo64R9SxfIc-P787671EhHhxuSNIyKVhV-78tCRdle-xGlb-yY6P6mV7ARgST20Fgxntwk-Qv_di-BNCnKpDP6qSJP98Zt-lDM.mrpIV_6BR7FKegamYgUWu_F7Gxo7_BAABR8nwSCGDmY&dib_tag=se&keywords=Laptop&qid=1753559949&sr=8-6
"HP Chromebook 11A G8 Education Edition AMD A4-9120C 4GB DDR4-1866 SDRAM, 32GB eMMC 11.6-inch WLED HD Webcam Chrome OS (Renewed)",65.,https://amazon.com/HP-Chromebook-Education-A4-9120C-11-6-inch/dp/B08NHSPCR6/ref=sr_1_90?dib=eyJ2IjoiMSJ9.EGwlRZac_zxOFbv3Gc8WEWV7R5eRvKBMpftmJVROfHZBZsnYDvrLa2Sk1is9i5gZoRvzv-EnCmFevVReonR305aA4Zc8F1ZIPLKg_HM-ycWfH9FYEmARx6Gk88zphIZFLr2c8iTyDxH08jSf4EQorddrobs2xwR8QjcQJId4YPIqsNXJXIZbiE5Qrq9rNWpcSSFl3RUfDziWGOp3ziO1B7OAzfjfO7RjPCswvbTEv2k.ddwI0BKA6yt9OYAxo879A5bBDC4N2MjC7P3T2zhn9wc&dib_tag=se&keywords=Laptop&qid=1753560000&sr=8-90
"Dell Inspiron 15 3000 3520 Business Laptop Computer[Windows 11 Pro], 15.6'' FHD Touchscreen, 11th Gen Intel Quad-Core i5-1135G7, 16GB RAM, 1TB PCIe SSD, Numeric Keypad, Wi-Fi, Webcam, HDMI, Black",494.,https://amazon.com/Dell-Laptop-Touchscreen-Quad-Core-i5-1135G7/dp/B0CC936WF1/ref=sr_1_91?dib=eyJ2IjoiMSJ9.EGwlRZac_zxOFbv3Gc8WEWV7R5eRvKBMpftmJVROfHZBZsnYDvrLa2Sk1is9i5gZoRvzv-EnCmFevVReonR305aA4Zc8F1ZIPLKg_HM-ycWfH9FYEmARx6Gk88zphIZFLr2c8iTyDxH08jSf4EQorddrobs2xwR8QjcQJId4YPIqsNXJXIZbiE5Qrq9rNWpcSSFl3RUfDziWGOp3ziO1B7OAzfjfO7RjPCswvbTEv2k.ddwI0BKA6yt9OYAxo879A5bBDC4N2MjC7P3T2zhn9wc&dib_tag=se&keywords=Laptop&qid=1753560000&sr=8-91
"Dell Touchscreen Laptop Computer, Inspiron 15 for College Home Study and Business, Intel i5-1334U (Beat i7-1250U), 15.6"" FHD, WiFi 6, Windows 11 Pro S, Type C to RJ45 Cable (32GB RAM, 1TB PCIe SSD)",697.,https://amazon.com/Dell-Inspiron-Touchscreen-Computer-Business/dp/B0B9W95J86/ref=sr_1_92?dib=eyJ2IjoiMSJ9.EGwlRZac_zxOFbv3Gc8WEWV7R5eRvKBMpftmJVROfHZBZsnYDvrLa2Sk1is9i5gZoRvzv-EnCmFevVReonR305aA4Zc8F1ZIPLKg_HM-ycWfH9FYEmARx6Gk88zphIZFLr2c8iTyDxH08jSf4EQorddrobs2xwR8QjcQJId4YPIqsNXJXIZbiE5Qrq9rNWpcSSFl3RUfDziWGOp3ziO1B7OAzfjfO7RjPCswvbTEv2k.ddwI0BKA6yt9OYAxo879A5bBDC4N2MjC7P3T2zhn9wc&dib_tag=se&keywords=Laptop&qid=1753560000&sr=8-92
"HP 14"" HD Laptop, Windows 11, Intel Celeron Dual-Core Processor Up to 2.60GHz, 4GB RAM, 64GB SSD, Webcam, Dale Blue (Renewed)",164.,https://amazon.com/HP-14-Laptop-Dual-Core-Processor/dp/B09VZR2BGN/ref=sr_1_93?dib=eyJ2IjoiMSJ9.EGwlRZac_zxOFbv3Gc8WEWV7R5eRvKBMpftmJVROfHZBZsnYDvrLa2Sk1is9i5gZoRvzv-EnCmFevVReonR305aA4Zc8F1ZIPLKg_HM-ycWfH9FYEmARx6Gk88zphIZFLr2c8iTyDxH08jSf4EQorddrobs2xwR8QjcQJId4YPIqsNXJXIZbiE5Qrq9rNWpcSSFl3RUfDziWGOp3ziO1B7OAzfjfO7RjPCswvbTEv2k.ddwI0BKA6yt9OYAxo879A5bBDC4N2MjC7P3T2zhn9wc&dib_tag=se&keywords=Laptop&qid=1753560000&sr=8-93
"Lenovo IdeaPad Ultra Light Laptop for Student & Home (14"" Anti-Glare, Intel Dual Core Processor, 4GB RAM, 128GB Storage (64GB+ 64GB SD)), 1 Year Office 365, Webcam, Wi-Fi 6, Win 11 Home in S, Grey",209.,https://amazon.com/IdeaPad-1i-Anti-Glare-Processor-Storage/dp/B0B9RQPCC5/ref=sr_1_94?dib=eyJ2IjoiMSJ9.EGwlRZac_zxOFbv3Gc8WEWV7R5eRvKBMpftmJVROfHZBZsnYDvrLa2Sk1is9i5gZoRvzv-EnCmFevVReonR305aA4Zc8F1ZIPLKg_HM-ycWfH9FYEmARx6Gk88zphIZFLr2c8iTyDxH08jSf4EQorddrobs2xwR8QjcQJId4YPIqsNXJXIZbiE5Qrq9rNWpcSSFl3RUfDziWGOp3ziO1B7OAzfjfO7RjPCswvbTEv2k.ddwI0BKA6yt9OYAxo879A5bBDC4N2MjC7P3T2zhn9wc&dib_tag=se&keywords=Laptop&qid=1753560000&sr=8-94
"Lenovo IdeaPad 1 Home Laptop, 15.6"" FHD Display, Intel Celeron Dual Core Processor, 12GB RAM, 384GB Storage(128GB eMMC + 256GB PCIe), 1 Yr Office 365, Wi-Fi 6, W11H, Additional 1 Yr ADP",284.,https://amazon.com/Lenovo-IdeaPad-Display-Processor-Additional/dp/B0D74GBJ1L/ref=sr_1_96?dib=eyJ2IjoiMSJ9.EGwlRZac_zxOFbv3Gc8WEWV7R5eRvKBMpftmJVROfHZBZsnYDvrLa2Sk1is9i5gZoRvzv-EnCmFevVReonR305aA4Zc8F1ZIPLKg_HM-ycWfH9FYEmARx6Gk88zphIZFLr2c8iTyDxH08jSf4EQorddrobs2xwR8QjcQJId4YPIqsNXJXIZbiE5Qrq9rNWpcSSFl3RUfDziWGOp3ziO1B7OAzfjfO7RjPCswvbTEv2k.ddwI0BKA6yt9OYAxo879A5bBDC4N2MjC7P3T2zhn9wc&dib_tag=se&keywords=Laptop&qid=1753560000&sr=8-96
"Lenovo V15 Laptop, 32GB RAM, 1TB PCIe SSD, Intel Celeron N4500 Processor, Intel UHD Graphics, 15.6"" FHD 1080p Display, Ethernet Port RJ-45, WiFi 6, Windows 11 Pro, WOWPC Recovery USB (Renewed)",329.,https://amazon.com/Lenovo-N4500-Processor-Graphics-Ethernet/dp/B0F68FWZ8D/ref=sr_1_97?dib=eyJ2IjoiMSJ9.KJGV-ZuBYMhn5wlxm3Eynma45ei1NFg5VGabM5uo_0Gkr_E5N7r3BvgfwPSwc7MDf0WYUG2S6_14boRYvrAVa-Ha38Oevomfol5nIvrffzrsDrv9AP8AK-FLhmvC_-bdYCf6SpgPrpcrbJjHUctLTWX9gngvSVyN9jbXpFa-lkD0KB5N3yYpTRUhKCHypp_juEZRBkxOKSqMa1dNHap1PFKR3bo4fKMBfbxW_PYJcfc.Hm_N-spexpjxCHc6D2uPR0geFQS_otWeMtMrs_8Vv98&dib_tag=se&keywords=Laptop&qid=1753560013&sr=8-97
